2024-12-09T02:11:52Z WARNING device.log             Dropping state update until config received...
2024-12-09T02:11:52Z WARNING device.log             Received config for config latch AHU-1
2024-12-09T02:12:14Z DEBUG   device.log             State update defer 449ms
2024-12-09T02:12:14Z DEBUG   system.config.parse    success
2024-12-09T02:12:14Z INFO    device.log             Device AHU-1 config handler
2024-12-09T02:12:14Z DEBUG   device.log             State update defer 448ms
2024-12-09T02:12:14Z DEBUG   device.log             Config update AHU-1 (scan_single_future)
2024-12-09T02:12:14Z INFO    device.log             2024-12-09T02:12:14Z received config 2024-12-09T02:12:14Z
2024-12-09T02:12:14Z NOTICE  system.config.apply    success
2024-12-09T02:12:14Z DEBUG   device.log             State update defer 447ms
2024-12-09T02:12:14Z DEBUG   device.log             State update defer 446ms
2024-12-09T02:12:14Z DEBUG   device.log             State update defer 446ms
2024-12-09T02:12:14Z DEBUG   device.log             State update defer 446ms
2024-12-09T02:12:14Z DEBUG   device.log             State update defer 446ms
2024-12-09T02:12:14Z DEBUG   device.log             State update defer 446ms
2024-12-09T02:12:14Z DEBUG   device.log             State update defer 0ms
2024-12-09T02:12:14Z INFO    device.log             Update state 2024-12-09T02:12:14Z last_config 2024-12-09T02:12:14Z
2024-12-09T02:12:14Z DEBUG   device.log             State update AHU-1 (scan_single_future)
2024-12-09T02:12:15Z DEBUG   system.config.receive  success
2024-12-09T02:12:15Z DEBUG   device.log             State update defer 1345ms
2024-12-09T02:12:15Z DEBUG   system.config.parse    success
2024-12-09T02:12:15Z INFO    device.log             Device AHU-1 config handler
2024-12-09T02:12:15Z DEBUG   device.log             State update defer 1344ms
2024-12-09T02:12:15Z DEBUG   device.log             Config update AHU-1 (scan_single_future)
2024-12-09T02:12:15Z INFO    device.log             2024-12-09T02:12:15Z received config 2024-12-09T02:12:15Z
2024-12-09T02:12:15Z NOTICE  system.config.apply    success
2024-12-09T02:12:15Z DEBUG   device.log             State update defer 1338ms
2024-12-09T02:12:15Z DEBUG   device.log             State update defer 1338ms
2024-12-09T02:12:15Z DEBUG   device.log             State update defer 1338ms
2024-12-09T02:12:15Z DEBUG   device.log             State update defer 1337ms
2024-12-09T02:12:16Z DEBUG   device.log             State update defer 0ms
2024-12-09T02:12:16Z INFO    device.log             Update state 2024-12-09T02:12:16Z last_config 2024-12-09T02:12:15Z
2024-12-09T02:12:16Z DEBUG   device.log             State update AHU-1 (scan_single_future)
2024-12-09T02:12:20Z DEBUG   system.config.receive  success
2024-12-09T02:12:20Z DEBUG   device.log             State update defer -2075ms
2024-12-09T02:12:20Z INFO    device.log             Update state 2024-12-09T02:12:20Z last_config 2024-12-09T02:12:15Z
2024-12-09T02:12:20Z DEBUG   system.config.parse    success
2024-12-09T02:12:20Z INFO    device.log             Device AHU-1 config handler
2024-12-09T02:12:20Z DEBUG   device.log             Config update AHU-1 (scan_single_future)
2024-12-09T02:12:20Z DEBUG   device.log             State update defer 2000ms
2024-12-09T02:12:20Z INFO    device.log             2024-12-09T02:12:20Z received config 2024-12-09T02:12:20Z
2024-12-09T02:12:20Z INFO    device.log             Discovery scan generation vendor pending at 2024-12-09T02:12:30Z
2024-12-09T02:12:20Z DEBUG   device.log             Scheduling future in 9218ms
2024-12-09T02:12:20Z NOTICE  system.config.apply    success
2024-12-09T02:12:20Z DEBUG   device.log             State update defer 1994ms
2024-12-09T02:12:20Z DEBUG   device.log             State update defer 1994ms
2024-12-09T02:12:20Z DEBUG   device.log             State update defer 1994ms
