2024-12-20T08:32:24Z DEBUG   device.log             State update AHU-1 (endpoint_redirect_and_restart)
2024-12-20T08:32:24Z DEBUG   device.log             Config update AHU-1 (endpoint_redirect_and_restart)
2024-12-20T08:32:24Z DEBUG   device.log             State update defer 2000ms
2024-12-20T08:32:24Z INFO    device.log             2024-12-20T08:32:24Z received config 2024-12-20T08:32:24Z
2024-12-20T08:32:24Z NOTICE  system.config.apply    success
2024-12-20T08:32:24Z DEBUG   device.log             State update defer 1999ms
2024-12-20T08:32:24Z DEBUG   device.log             State update defer 1999ms
2024-12-20T08:32:25Z DEBUG   device.log             State update defer 1786ms
2024-12-20T08:32:26Z DEBUG   device.log             State update defer 0ms
2024-12-20T08:32:26Z INFO    device.log             Update state 2024-12-20T08:32:26Z last_config 2024-12-20T08:32:24Z
2024-12-20T08:32:26Z DEBUG   device.log             State update AHU-1 (endpoint_redirect_and_restart)
2024-12-20T08:32:28Z DEBUG   system.config.receive  success
2024-12-20T08:32:28Z DEBUG   device.log             State update defer -55ms
2024-12-20T08:32:28Z INFO    device.log             Update state 2024-12-20T08:32:28Z last_config 2024-12-20T08:32:24Z
2024-12-20T08:32:28Z DEBUG   system.config.parse    success
2024-12-20T08:32:28Z INFO    device.log             Device AHU-1 config handler
2024-12-20T08:32:28Z DEBUG   device.log             State update AHU-1 (endpoint_redirect_and_restart)
2024-12-20T08:32:28Z DEBUG   device.log             Config update AHU-1 (endpoint_redirect_and_restart)
2024-12-20T08:32:28Z DEBUG   device.log             State update defer 2000ms
2024-12-20T08:32:28Z INFO    device.log             2024-12-20T08:32:28Z received config 2024-12-20T08:32:28Z
2024-12-20T08:32:28Z NOTICE  system.config.apply    success
2024-12-20T08:32:28Z DEBUG   device.log             State update defer 1999ms
2024-12-20T08:32:28Z DEBUG   device.log             State update defer 1999ms
2024-12-20T08:32:28Z DEBUG   device.log             State update defer 1999ms
2024-12-20T08:32:28Z DEBUG   device.log             State update defer 1999ms
2024-12-20T08:32:30Z DEBUG   device.log             State update defer 0ms
2024-12-20T08:32:30Z INFO    device.log             Update state 2024-12-20T08:32:30Z last_config 2024-12-20T08:32:28Z
2024-12-20T08:32:30Z DEBUG   device.log             State update AHU-1 (endpoint_redirect_and_restart)
2024-12-20T08:32:33Z DEBUG   system.config.receive  success
2024-12-20T08:32:33Z DEBUG   device.log             State update defer -115ms
2024-12-20T08:32:33Z INFO    device.log             Update state 2024-12-20T08:32:33Z last_config 2024-12-20T08:32:28Z
2024-12-20T08:32:33Z DEBUG   system.config.parse    success
2024-12-20T08:32:33Z INFO    device.log             Device AHU-1 config handler
2024-12-20T08:32:33Z DEBUG   device.log             State update AHU-1 (endpoint_redirect_and_restart)
2024-12-20T08:32:33Z DEBUG   device.log             Config update AHU-1 (endpoint_redirect_and_restart)
2024-12-20T08:32:33Z DEBUG   device.log             State update defer 2000ms
2024-12-20T08:32:33Z INFO    device.log             2024-12-20T08:32:33Z received config 2024-12-20T08:32:32Z
2024-12-20T08:32:33Z DEBUG   device.log             State update defer 1999ms
